"","Receiver","Caster","lc1","lc2","lc3","pmax","good","Signal","processed","linked","grouped"
"1",1,1,0,0,0,0,0,0,1,TRUE,TRUE
"2",1,2,0,0,0,0,0,0,0,FALSE,FALSE
"3",1,3,10,0,0,10,1,10,0,FALSE,FALSE
"4",1,4,10,0,0,10,1,10,0,FALSE,FALSE
"5",1,5,12,12,12,12,3,12,0,FALSE,FALSE
"6",1,6,23,22,22,23,3,22,0,FALSE,FALSE
"7",1,7,0,0,0,0,0,0,0,FALSE,FALSE
"8",1,8,10,10,9,10,3,9,0,FALSE,FALSE
"9",1,9,111,107,109,111,3,109,0,FALSE,FALSE
"10",1,10,12,12,12,12,3,12,0,FALSE,FALSE
"11",1,11,10,10,10,10,3,10,0,FALSE,FALSE
"12",1,12,12,12,12,12,3,12,0,FALSE,FALSE
"13",1,13,196,179,179,196,3,184,0,FALSE,FALSE
"14",1,14,27,27,27,27,3,27,0,FALSE,FALSE
"15",2,1,0,0,0,0,0,0,0,FALSE,FALSE
"16",2,2,0,0,0,0,0,0,1,TRUE,TRUE
"17",2,3,10,10,10,10,3,10,0,FALSE,FALSE
"18",2,4,11,10,11,11,3,10,0,FALSE,FALSE
"19",2,5,14,14,13,14,3,13,0,FALSE,FALSE
"20",2,6,24,23,23,24,3,23,0,FALSE,FALSE
"21",2,7,11,10,10,11,3,10,0,FALSE,FALSE
"22",2,8,11,11,11,11,3,11,0,FALSE,FALSE
"23",2,9,116,112,114,116,3,114,0,FALSE,FALSE
"24",2,10,13,12,13,13,3,12,0,FALSE,FALSE
"25",2,11,12,11,11,12,3,11,0,FALSE,FALSE
"26",2,12,13,13,13,13,3,13,0,FALSE,FALSE
"27",2,13,178,163,163,178,3,168,0,FALSE,FALSE
"28",2,14,30,29,29,30,3,29,0,FALSE,FALSE
"29",3,1,0,0,0,0,0,0,0,FALSE,FALSE
"30",3,2,0,0,0,0,0,0,0,FALSE,FALSE
"31",3,3,914,915,923,923,3,917,1,TRUE,TRUE
"32",3,4,569,569,573,573,3,570,0.843867577713683,TRUE,TRUE
"33",3,5,624,603,626,626,3,617,0.9935968271044,TRUE,TRUE
"34",3,6,415,411,415,415,3,413,0.639389732314002,TRUE,TRUE
"35",3,7,331,328,0,331,2,329,0.525472928302257,TRUE,TRUE
"36",3,8,565,585,593,593,3,581,0.858903039646202,TRUE,TRUE
"37",3,9,1,180,179,180,2,180,0.239000051198174,FALSE,TRUE
"38",3,10,550,553,553,553,3,552,0.814337722295687,TRUE,TRUE
"39",3,11,225,0,229,229,2,227,0.33646280267068,FALSE,TRUE
"40",3,12,233,239,234,239,3,235,0.337417056105926,FALSE,TRUE
"41",3,13,209,210,209,210,3,209,0.275507728802737,FALSE,TRUE
"42",3,14,250,257,259,259,3,255,0.363243323361924,FALSE,TRUE
"43",4,1,0,0,0,0,0,0,0,FALSE,FALSE
"44",4,2,0,0,0,0,0,0,0,FALSE,FALSE
"45",4,3,13,645,11,645,1,669,0.843867577713683,TRUE,TRUE
"46",4,4,898,884,904,904,3,895,1,TRUE,TRUE
"47",4,5,652,641,660,660,3,651,0.821236156939639,TRUE,TRUE
"48",4,6,0,327,333,333,2,330,0.448943729862697,TRUE,TRUE
"49",4,7,588,586,594,594,3,589,0.856980629874966,TRUE,TRUE
"50",4,8,663,670,684,684,3,672,1,TRUE,TRUE
"51",4,9,178,177,0,178,2,177,0.226304664749073,FALSE,TRUE
"52",4,10,291,292,294,294,3,292,0.414026309391084,TRUE,TRUE
"53",4,11,330,331,332,332,3,331,0.477729697574878,TRUE,TRUE
"54",4,12,188,191,189,191,3,189,0.253633291553266,FALSE,TRUE
"55",4,13,186,183,183,186,3,184,0.234629220261924,FALSE,TRUE
"56",4,14,0,209,212,212,2,210,0.289787129961824,FALSE,TRUE
"57",5,1,0,0,0,0,0,0,0,FALSE,FALSE
"58",5,2,0,0,0,0,0,0,0,FALSE,FALSE
"59",5,3,619,622,0,622,2,620,0.9935968271044,TRUE,TRUE
"60",5,4,522,522,523,523,3,522,0.821236156939639,TRUE,TRUE
"61",5,5,858,879,856,879,3,864,1,TRUE,TRUE
"62",5,6,449,0,450,450,2,449,0.694772406253829,TRUE,TRUE
"63",5,7,0,362,364,364,2,363,0.619469978131884,TRUE,TRUE
"64",5,8,438,439,451,451,3,442,0.72960174176987,TRUE,TRUE
"65",5,9,200,200,201,201,3,200,0.280677182943666,FALSE,TRUE
"66",5,10,407,407,408,408,3,407,0.619994311742744,TRUE,TRUE
"67",5,11,253,254,0,254,2,253,0.420322044510128,TRUE,TRUE
"68",5,12,0,0,0,0,0,0,0.184064086940304,FALSE,TRUE
"69",5,13,237,235,233,237,3,235,0.316029825243753,FALSE,TRUE
"70",5,14,285,289,0,289,2,287,0.405718138911925,TRUE,TRUE
"71",6,1,0,0,0,0,0,0,0,FALSE,FALSE
"72",6,2,0,0,0,0,0,0,0,FALSE,FALSE
"73",6,3,383,0,384,384,2,383,0.639389732314002,TRUE,TRUE
"74",6,4,276,280,278,280,3,278,0.448943729862697,TRUE,TRUE
"75",6,5,389,379,394,394,3,387,0.694772406253829,TRUE,TRUE
"76",6,6,857,857,863,863,3,859,1,TRUE,TRUE
"77",6,7,235,235,237,237,3,235,0.380618094649003,FALSE,TRUE
"78",6,8,218,223,1,223,2,221,0.360056325944014,FALSE,TRUE
"79",6,9,234,239,235,239,3,236,0.353309796418262,FALSE,TRUE
"80",6,10,599,599,592,599,3,596,0.874571525333246,TRUE,TRUE
"81",6,11,0,0,182,182,1,182,0.277308385933444,FALSE,TRUE
"82",6,12,530,545,530,545,3,535,0.693842403688991,TRUE,TRUE
"83",6,13,369,371,372,372,3,370,0.498803131191302,TRUE,TRUE
"84",6,14,551,562,566,566,3,559,0.722898321283188,TRUE,TRUE
"85",7,1,0,0,0,0,0,0,0,FALSE,FALSE
"86",7,2,0,0,0,0,0,0,0,FALSE,FALSE
"87",7,3,415,415,416,416,3,415,0.525472928302257,TRUE,TRUE
"88",7,4,632,633,635,635,3,633,0.856980629874966,TRUE,TRUE
"89",7,5,510,493,0,510,2,501,0.619469978131884,TRUE,TRUE
"90",7,6,278,279,281,281,3,279,0.380618094649003,FALSE,TRUE
"91",7,7,934,936,938,938,3,936,1,TRUE,TRUE
"92",7,8,335,347,357,357,3,346,0.465105520879016,TRUE,TRUE
"93",7,9,161,162,162,162,3,161,0.216895607748916,FALSE,TRUE
"94",7,10,208,208,208,208,3,208,0.293964998248985,FALSE,TRUE
"95",7,11,668,667,672,672,3,669,1,TRUE,TRUE
"96",7,12,142,149,143,149,3,144,0.195774479040952,FALSE,TRUE
"97",7,13,176,175,0,176,2,175,0.226401804967481,FALSE,TRUE
"98",7,14,154,162,163,163,3,159,0.221299862290771,FALSE,TRUE
"99",8,1,0,0,0,0,0,0,0,FALSE,FALSE
"100",8,2,0,0,0,0,0,0,0,FALSE,FALSE
"101",8,3,709,716,718,718,3,714,0.858903039646202,TRUE,TRUE
"102",8,4,742,745,749,749,3,745,1,TRUE,TRUE
"103",8,5,612,618,613,618,3,614,0.72960174176987,TRUE,TRUE
"104",8,6,273,273,271,273,3,272,0.360056325944014,FALSE,TRUE
"105",8,7,326,0,329,329,2,327,0.465105520879016,TRUE,TRUE
